repo	stars	forks	pushed_at	archived	license	language
VoltAgent/awesome-design-md	67080	8249	2026-04-19	false	MIT	none
garrytan/gstack	85616	12526	2026-04-28	false	MIT	TypeScript
anthropics/skills	125106	14649	2026-04-23	false	none	Python
hesreallyhim/awesome-claude-code	41610	3496	2026-04-27	false	NOASSERTION	Python
PatrickJS/awesome-cursorrules	39285	3351	2025-10-24	false	CC0-1.0	MDX
github/spec-kit	91370	7898	2026-04-24	false	MIT	Python
github/awesome-copilot	31431	3807	2026-04-28	false	MIT	Python
obra/superpowers	170574	15058	2026-04-28	false	MIT	Shell
affaan-m/everything-claude-code	168777	26159	2026-04-26	false	MIT	JavaScript
VoltAgent/awesome-claude-code-subagents	18599	2128	2026-04-20	false	MIT	Shell
VoltAgent/awesome-agent-skills	19182	2049	2026-04-25	false	MIT	none
travisvn/awesome-claude-skills	11879	1249	2026-03-16	false	none	none
coleam00/context-engineering-intro	13227	2704	2026-03-16	false	MIT	Python
forrestchang/andrej-karpathy-skills	95277	9237	2026-04-20	false	none	none
shanraisshan/claude-code-best-practice	48769	4831	2026-04-27	false	MIT	HTML
rohitg00/awesome-claude-code-toolkit	1461	445	2026-04-20	false	Apache-2.0	JavaScript
ComposioHQ/awesome-claude-skills	56765	6116	2026-04-21	false	none	Python
sickn33/antigravity-awesome-skills	35447	5823	2026-04-28	false	MIT	Python
iannuttall/claude-agents	2047	266	2025-07-25	false	MIT	none
lst97/claude-code-sub-agents	1549	247	2025-08-15	false	MIT	none
0xfurai/claude-code-subagents	871	161	2025-10-15	false	MIT	none
ccplugins/awesome-claude-code-plugins	732	239	2025-10-14	false	Apache-2.0	Python
Code-and-Sorts/awesome-copilot-agents	495	69	2026-03-29	false	CC0-1.0	TypeScript
rahulvrane/awesome-claude-agents	328	45	2026-03-06	false	NOASSERTION	none
punkpeye/awesome-mcp-servers	85818	9585	2026-04-27	false	MIT	none
modelcontextprotocol/servers	84679	10522	2026-04-17	false	NOASSERTION	TypeScript
Donchitos/Claude-Code-Game-Studios	16430	2384	2026-04-24	false	MIT	Shell
RyanNielson/awesome-unity	7078	736	2025-01-22	true	CC0-1.0	none
baba-s/awesome-unity-open-source-on-github	4395	486	2026-02-02	false	Unlicense	none
QianMo/Awesome-Unity-Shader	4298	1106	2021-10-14	false	none	ShaderLab
godotengine/awesome-godot	9834	522	2026-04-20	false	CC-BY-4.0	none
SamuelAsherRivello/unity-best-practices	53	6	2024-10-22	false	none	C#
SamuelAsherRivello/unity-project-template	137	40	2025-09-28	false	MIT	C#
futurice/unity-good-practices	54	5	2018-04-24	false	none	none
vsouza/awesome-ios	51989	6954	2026-04-24	false	MIT	Swift
onmyway133/awesome-ios-architecture	5239	520	2023-11-29	false	MIT	none
wasabeef/awesome-android-ui	55945	10261	2024-07-06	false	MIT	none
JStumpp/awesome-android	12081	1756	2025-10-27	false	CC0-1.0	none
jondot/awesome-react-native	35673	4023	2024-07-05	false	none	JavaScript
Kristories/awesome-guidelines	10751	616	2026-04-20	false	CC0-1.0	JavaScript
mkosir/typescript-style-guide	770	38	2025-06-27	false	MIT	MDX
tum-esi/common-coding-conventions	410	40	2024-08-01	false	none	none
github/swift-style-guide	4768	563	2017-11-08	true	CC0-1.0	none
kodecocodes/objective-c-style-guide	3091	615	2017-10-01	false	none	none
joho/awesome-code-review	5019	364	2024-09-09	false	none	none
dair-ai/Prompt-Engineering-Guide	73917	7980	2026-03-11	false	MIT	MDX
f/prompts.chat	160980	21034	2026-04-28	false	NOASSERTION	HTML
mehdihadeli/awesome-software-architecture	11005	959	2026-02-01	false	CC0-1.0	C#
binhnguyennus/awesome-scalability	70671	6974	2026-01-04	false	MIT	none
ashishps1/awesome-system-design-resources	36778	7953	2026-02-16	false	GPL-3.0	Java
madd86/awesome-system-design	12086	1304	2026-02-27	false	CC0-1.0	none
greatfrontend/awesome-front-end-system-design	8123	302	2026-03-03	false	MIT	none
alexpate/awesome-design-systems	24136	1538	2025-07-21	false	Unlicense	none
klaufel/awesome-design-systems	843	50	2026-04-23	false	CC0-1.0	none
jbranchaud/awesome-react-design-systems	926	53	2022-11-05	false	CC0-1.0	none
bradtraversy/design-resources-for-developers	65415	12022	2026-04-13	false	MIT	none
wmariuss/awesome-devops	4069	837	2026-04-17	false	CC0-1.0	Python
yosriady/awesome-api-devtools	4007	561	2025-12-20	false	none	none
arainho/awesome-api-security	3778	626	2025-11-23	false	GPL-3.0	none
zhashkevych/awesome-backend	3334	396	2026-04-17	false	none	none
jenniferlynparsons/awesome-writing	694	32	2021-10-08	false	Unlicense	none
elangosundar/awesome-README-templates	1105	588	2024-03-12	false	MIT	JavaScript
gsd-build/get-shit-done	58227	4930	2026-04-28	false	MIT	JavaScript
Windy3f3f3f3f/how-claude-code-works	2034	526	2026-04-21	false	MIT	none
rohitg00/pro-workflow	2025	193	2026-04-26	false	none	JavaScript
NeoLabHQ/context-engineering-kit	882	79	2026-04-22	false	GPL-3.0	TypeScript
runesleo/claude-code-workflow	669	77	2026-04-27	false	none	none
snarktank/ralph	18009	1790	2026-02-02	false	MIT	TypeScript
gmickel/flow-next	576	42	2026-04-27	false	MIT	Python
josstei/maestro-orchestrate	381	21	2026-04-27	false	Apache-2.0	JavaScript
luongnv89/claude-howto	29747	3639	2026-04-27	false	MIT	Python
heilcheng/awesome-agent-skills	4373	414	2026-04-05	false	MIT	TypeScript
webfuse-com/awesome-claude	1398	246	2026-03-16	false	CC0-1.0	TypeScript
jqueryscript/awesome-claude-code	314	228	2026-04-26	false	CC0-1.0	none
LessUp/awesome-cursorrules-zh	165	22	2026-04-27	false	MIT	JavaScript
